problemType,algorithmType,numberOfStepRepetitions,problemSize,lambda,beginFitness,endFitness,probabilityEnumerationStrategy,fitness,bestProbability,optimizationTime
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.1,21491.42826902128
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.2,29794.10024698159
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.1,21511.616232971774
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.2,26031.308022590467
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.1,21530.28714001516
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.2,24280.379425720283
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.6,1.7976931348623157E308
